case,stiffness,run_idx,q0_mcp_deg,q0_pip_deg,q0_dip_deg,theta_mcp_deg,theta_pip_deg,theta_dip_deg,tip_x_mm,tip_y_mm,tension_N,conv_time_s,saturated
mcp,k=0,0,-1.0,0.0,0.0,53.9089,54.8943,54.899,94.2749,-15.0765,0.0,1.201,
mcp,k=0,1,-0.9,0.0,0.0,53.9756,54.861,54.8656,94.3051,-15.1516,0.0,1.201,
mcp,k=0,2,-0.8,0.0,0.0,54.0422,54.8277,54.8323,94.3352,-15.2267,0.0,1.201,
mcp,k=0,3,-0.7,0.0,0.0,54.1089,54.7944,54.799,94.3653,-15.3019,0.0,1.201,
mcp,k=0,4,-0.6,0.0,0.0,54.1755,54.761,54.7657,94.3952,-15.3771,0.0,1.201,
mcp,k=0,5,-0.5,0.0,0.0,54.2422,54.7277,54.7323,94.4252,-15.4524,0.0,1.201,
mcp,k=0,6,-0.4,0.0,0.0,54.3089,54.6944,54.699,94.455,-15.5277,0.0,1.201,
mcp,k=0,7,-0.3,0.0,0.0,54.3755,54.6611,54.6657,94.4847,-15.6031,0.0,1.201,
mcp,k=0,8,-0.2,0.0,0.0,54.4422,54.6277,54.6323,94.5144,-15.6784,0.0,1.201,
mcp,k=0,9,-0.1,0.0,0.0,54.5088,54.5944,54.599,94.544,-15.7539,0.0,1.201,
mcp,k=0,10,0.0,0.0,0.0,54.5755,54.5611,54.5657,94.5735,-15.8293,0.0,1.201,
mcp,k=0,11,0.1,0.0,0.0,54.6421,54.5278,54.5323,94.603,-15.9048,0.0,1.201,
mcp,k=0,12,0.2,0.0,0.0,54.7062,54.4996,54.4964,94.6303,-15.9801,0.0,1.201,
mcp,k=0,13,0.3,0.0,0.0,54.7726,54.4668,54.4628,94.6594,-16.0556,0.0,1.201,
mcp,k=0,14,0.4,0.0,0.0,54.8334,54.4451,54.4237,94.684,-16.1306,0.0,1.201,
mcp,k=0,15,0.5,0.0,0.0,54.8994,54.4133,54.3896,94.7126,-16.2062,0.0,1.201,
mcp,k=0,16,0.6,0.0,0.0,54.9564,54.3992,54.3466,94.734,-16.2808,0.0,1.201,
mcp,k=0,17,0.7,0.0,0.0,55.0216,54.3687,54.3119,94.7619,-16.3564,0.0,1.201,
mcp,k=0,18,0.8,0.0,0.0,55.0745,54.363,54.2648,94.7798,-16.4306,0.0,1.201,
mcp,k=0,19,0.9,0.0,0.0,55.1388,54.3343,54.2291,94.8069,-16.5062,0.0,1.201,
mcp,k=0,20,1.0,0.0,0.0,55.2031,54.3057,54.1934,94.8338,-16.5817,0.0,1.201,
mcp,k=0.1184,0,-1.0,0.0,0.0,54.0732,54.1654,54.1556,95.2804,-14.5782,15.9801,1.439,
mcp,k=0.1184,1,-0.9,0.0,0.0,54.0732,54.1662,54.1549,95.2803,-14.5787,15.9801,1.341,
mcp,k=0.1184,2,-0.8,0.0,0.0,54.0734,54.1671,54.1537,95.2801,-14.5797,15.9801,1.229,
mcp,k=0.1184,3,-0.7,0.0,0.0,54.0833,54.1623,54.1487,95.2846,-14.5909,15.9801,1.216,
mcp,k=0.1184,4,-0.6,0.0,0.0,54.0941,54.1569,54.1432,95.2895,-14.6031,15.9801,1.213,
mcp,k=0.1184,5,-0.5,0.0,0.0,54.1047,54.1517,54.1378,95.2943,-14.6151,15.9801,1.201,
mcp,k=0.1184,6,-0.4,0.0,0.0,54.1159,54.1461,54.1322,95.2994,-14.6278,15.9801,1.201,
mcp,k=0.1184,7,-0.3,0.0,0.0,54.1271,54.1405,54.1266,95.3045,-14.6405,15.9801,1.201,
mcp,k=0.1184,8,-0.2,0.0,0.0,54.1383,54.1349,54.121,95.3095,-14.6532,15.9801,1.201,
mcp,k=0.1184,9,-0.1,0.0,0.0,54.1495,54.1293,54.1154,95.3146,-14.6659,15.9801,1.201,
mcp,k=0.1184,10,0.0,0.0,0.0,54.1608,54.1237,54.1098,95.3197,-14.6785,15.9801,1.201,
mcp,k=0.1184,11,0.1,0.0,0.0,54.1715,54.1182,54.1045,95.3246,-14.6905,15.9801,1.21,
mcp,k=0.1184,12,0.2,0.0,0.0,54.182,54.1136,54.0986,95.3292,-14.7029,15.9801,1.211,
mcp,k=0.1184,13,0.3,0.0,0.0,54.1929,54.1082,54.0931,95.3342,-14.7153,15.9801,1.212,
mcp,k=0.1184,14,0.4,0.0,0.0,54.1897,54.1096,54.095,95.3327,-14.7115,15.9801,1.351,
mcp,k=0.1184,15,0.5,0.0,0.0,54.1897,54.1088,54.0958,95.3329,-14.7109,15.9801,1.447,
mcp,k=0.1184,16,0.6,0.0,0.0,54.1897,54.1096,54.0949,95.3327,-14.7115,15.9801,1.52,
mcp,k=0.1184,17,0.7,0.0,0.0,54.1896,54.1091,54.0955,95.3328,-14.7111,15.9801,1.595,
mcp,k=0.1184,18,0.8,0.0,0.0,54.1896,54.1103,54.0942,95.3326,-14.7119,15.9801,1.6500000000000001,
mcp,k=0.1184,19,0.9,0.0,0.0,54.1897,54.1099,54.0946,95.3327,-14.7117,15.9801,1.711,
mcp,k=0.1184,20,1.0,0.0,0.0,54.1896,54.1096,54.095,95.3327,-14.7114,15.9801,1.768,
pip,k=0,0,0.0,-1.0,0.0,54.7359,54.2404,54.726,94.7014,-15.846,0.0,1.201,
pip,k=0,1,0.0,-0.9,0.0,54.7265,54.2591,54.7167,94.694,-15.845,0.0,1.201,
pip,k=0,2,0.0,-0.8,0.0,54.7041,54.3039,54.6942,94.6761,-15.8427,0.0,1.201,
pip,k=0,3,0.0,-0.7,0.0,54.6931,54.3259,54.6832,94.6674,-15.8415,0.0,1.201,
pip,k=0,4,0.0,-0.6,0.0,54.6697,54.3726,54.6599,94.6488,-15.8391,0.0,1.201,
pip,k=0,5,0.0,-0.5,0.0,54.657,54.3981,54.6471,94.6386,-15.8378,0.0,1.201,
pip,k=0,6,0.0,-0.4,0.0,54.6432,54.4258,54.6333,94.6276,-15.8363,0.0,1.201,
pip,k=0,7,0.0,-0.3,0.0,54.6179,54.4762,54.6081,94.6075,-15.8337,0.0,1.201,
pip,k=0,8,0.0,-0.2,0.0,54.6017,54.5086,54.5919,94.5945,-15.832,0.0,1.201,
pip,k=0,9,0.0,-0.1,0.0,54.5914,54.5292,54.5816,94.5863,-15.831,0.0,1.201,
pip,k=0,10,0.0,0.0,0.0,54.5755,54.5611,54.5657,94.5735,-15.8293,0.0,1.201,
pip,k=0,11,0.0,0.1,0.0,54.5422,54.6277,54.5323,94.5469,-15.8259,0.0,1.201,
pip,k=0,12,0.0,0.2,0.0,54.5088,54.6944,54.499,94.5202,-15.8224,0.0,1.201,
pip,k=0,13,0.0,0.3,0.0,54.4755,54.761,54.4657,94.4935,-15.819,0.0,1.201,
pip,k=0,14,0.0,0.4,0.0,54.4422,54.8277,54.4324,94.4667,-15.8156,0.0,1.201,
pip,k=0,15,0.0,0.5,0.0,54.4089,54.8943,54.399,94.44,-15.8121,0.0,1.201,
pip,k=0,16,0.0,0.6,0.0,54.3755,54.961,54.3657,94.4132,-15.8087,0.0,1.201,
pip,k=0,17,0.0,0.7,0.0,54.3422,55.0276,54.3324,94.3863,-15.8053,0.0,1.201,
pip,k=0,18,0.0,0.8,0.0,54.3089,55.0943,54.2991,94.3595,-15.8019,0.0,1.201,
pip,k=0,19,0.0,0.9,0.0,54.2755,55.1609,54.2657,94.3326,-15.7985,0.0,1.201,
pip,k=0,20,0.0,1.0,0.0,54.2422,55.2276,54.2324,94.3057,-15.7951,0.0,1.201,
pip,k=0.1184,0,0.0,-1.0,0.0,54.1843,54.0731,54.1368,95.3392,-14.6784,15.9801,1.2510000000000001,
pip,k=0.1184,1,0.0,-0.9,0.0,54.1849,54.0739,54.1355,95.3392,-14.6797,15.9801,1.224,
pip,k=0.1184,2,0.0,-0.8,0.0,54.1817,54.0807,54.1318,95.3366,-14.6798,15.9801,1.216,
pip,k=0.1184,3,0.0,-0.7,0.0,54.1799,54.0844,54.1299,95.3352,-14.6797,15.9801,1.215,
pip,k=0.1184,4,0.0,-0.6,0.0,54.1761,54.0921,54.126,95.3321,-14.6794,15.9801,1.213,
pip,k=0.1184,5,0.0,-0.5,0.0,54.174,54.0964,54.1238,95.3304,-14.6793,15.9801,1.212,
pip,k=0.1184,6,0.0,-0.4,0.0,54.1717,54.101,54.1215,95.3286,-14.6791,15.9801,1.211,
pip,k=0.1184,7,0.0,-0.3,0.0,54.1675,54.1095,54.1172,95.3253,-14.6787,15.9801,1.21,
pip,k=0.1184,8,0.0,-0.2,0.0,54.1648,54.1149,54.1145,95.3231,-14.6785,15.9801,1.21,
pip,k=0.1184,9,0.0,-0.1,0.0,54.1631,54.1184,54.1127,95.3217,-14.6784,15.9801,1.209,
pip,k=0.1184,10,0.0,0.0,0.0,54.1608,54.1237,54.1098,95.3197,-14.6785,15.9801,1.201,
pip,k=0.1184,11,0.0,0.1,0.0,54.1551,54.1349,54.1042,95.3153,-14.678,15.9801,1.201,
pip,k=0.1184,12,0.0,0.2,0.0,54.1492,54.1459,54.0991,95.3107,-14.6769,15.9801,1.211,
pip,k=0.1184,13,0.0,0.3,0.0,54.1437,54.157,54.0936,95.3063,-14.6763,15.9801,1.212,
pip,k=0.1184,14,0.0,0.4,0.0,54.1381,54.168,54.0881,95.3019,-14.6757,15.9801,1.213,
pip,k=0.1184,15,0.0,0.5,0.0,54.1326,54.1789,54.0827,95.2976,-14.6751,15.9801,1.214,
